time,open,high,low,close,volume
1785767400,63752.36,63898.08,63679.0,63753.83,0.48482
1785768300,63748.9,63980.37,63679.0,63975.04,0.0933
1785769200,63947.07,63947.07,63759.93,63820.51,0.04082
1785770100,63839.16,63847.67,63688.91,63704.26,0.151
1785771000,63725.21,63889.31,63725.21,63740.45,0.2484
1785771900,63815.65,63817.51,63657.65,63657.65,0.29619
1785772800,63708.89,63887.83,63692.72,63789.34,0.06295
1785773700,63801.8,63909.5,63801.8,63894.23,0.08116
1785774600,63873.29,63873.29,63713.38,63714.24,0.19193
1785775500,63783.93,63851.85,63771.09,63780.98,0.12883
1785776400,63779.99,63862.75,63732.85,63862.75,0.03108
1785777300,63855.06,64050.4,63840.76,63844.0,0.20699
1785778200,63811.01,63924.1,63786.85,63924.1,0.18651
1785779100,63933.27,63943.0,63876.71,63887.13,0.00745
1785780000,63911.4,63977.37,63870.22,63977.37,3.52583
1785780900,63973.83,63987.63,63844.0,63856.34,0.00807
1785781800,63852.83,63902.27,63816.43,63845.95,0.12102
1785782700,63811.0,63917.8,63810.81,63917.8,0.0803
1785783600,63879.39,63935.06,63865.34,63904.0,0.09769
1785784500,63943.0,63976.0,63923.14,63976.0,0.17178
1785785400,63985.84,64054.19,63873.38,63922.6,0.6064
1785786300,63931.19,63961.72,63873.8,63873.8,0.05461
1785787200,63844.0,63946.35,63818.19,63903.32,0.08795
1785788100,63929.2,64001.19,63929.2,63981.08,0.04444
